StateID,Year,Population
AK,2017,739795
AL,2017,4874747
AR,2017,3004279
AZ,2017,7016270
CA,2017,39536653
CO,2017,5607154
CT,2017,3588184
DC,2017,693972
DE,2017,961939
FL,2017,20984400
GA,2017,10429379
HI,2017,1427538
IA,2017,3145711
ID,2017,1716943
IL,2017,12802023
IN,2017,6666818
KS,2017,2913123
KY,2017,4454189
LA,2017,4684333
MA,2017,6859819
MD,2017,6052177
ME,2017,1335907
MI,2017,9962311
MN,2017,5576606
MO,2017,6113532
MS,2017,2984100
MT,2017,1050493
NC,2017,10273419
ND,2017,755393
NE,2017,1920076
NH,2017,1342795
NJ,2017,9005644
NM,2017,2088070
NV,2017,2998039
NY,2017,19849399
OH,2017,11658609
OK,2017,3930864
OR,2017,4142776
PA,2017,12805537
RI,2017,1059639
SC,2017,5024369
SD,2017,869666
TN,2017,6715984
TX,2017,28304596
UT,2017,3101833
VA,2017,8470020
VT,2017,623657
WA,2017,7405743
WI,2017,5795483
WV,2017,1815857
WY,2017,579315
AK,2018,737438
AL,2018,4887871
AR,2018,3013825
AZ,2018,7171646
CA,2018,39557045
CO,2018,5695564
CT,2018,3572665
DC,2018,702455
DE,2018,967171
FL,2018,21299325
GA,2018,10519475
HI,2018,1420491
IA,2018,3156145
ID,2018,1754208
IL,2018,12741080
IN,2018,6691878
KS,2018,2911505
KY,2018,4468402
LA,2018,4659978
MA,2018,6902149
MD,2018,6042718
ME,2018,1338404
MI,2018,9995915
MN,2018,5611179
MO,2018,6126452
MS,2018,2986530
MT,2018,1062305
NC,2018,10383620
ND,2018,760077
NE,2018,1929268
NH,2018,1356458
NJ,2018,8908520
NM,2018,2095428
NV,2018,3034392
NY,2018,19542209
OH,2018,11689442
OK,2018,3943079
OR,2018,4190713
PA,2018,12807060
RI,2018,1057315
SC,2018,5084127
SD,2018,882235
TN,2018,6770010
TX,2018,28701845
UT,2018,3161105
VA,2018,8517685
VT,2018,626299
WA,2018,7535591
WI,2018,5813568
WV,2018,1805832
WY,2018,577737
AK,2019,731545
AL,2019,4903185
AR,2019,3017804
AZ,2019,7278717
CA,2019,39512223
CO,2019,5758736
CT,2019,3565287
DC,2019,705749
DE,2019,973764
FL,2019,21477737
GA,2019,10617423
HI,2019,1415872
IA,2019,3155070
ID,2019,1787065
IL,2019,12671821
IN,2019,6732219
KS,2019,2913314
KY,2019,4467673
LA,2019,4648794
MA,2019,6892503
MD,2019,6045680
ME,2019,1344212
MI,2019,9986857
MN,2019,5639632
MO,2019,6137428
MS,2019,2976149
MT,2019,1068778
NC,2019,10488084
ND,2019,762062
NE,2019,1934408
NH,2019,1359711
NJ,2019,8882190
NM,2019,2096829
NV,2019,3080156
NY,2019,19453561
OH,2019,11689100
OK,2019,3956971
OR,2019,4217737
PA,2019,12801989
RI,2019,1059361
SC,2019,5148714
SD,2019,884659
TN,2019,6829174
TX,2019,28995881
UT,2019,3205958
VA,2019,8535519
VT,2019,623989
WA,2019,7614893
WI,2019,5822434
WV,2019,1792147
WY,2019,578759
AK,2020,733391
AL,2020,5024279
AR,2020,3011524
AZ,2020,7151502
CA,2020,39538223
CO,2020,5773714
CT,2020,3605944
DC,2020,689545
DE,2020,989948
FL,2020,21538187
GA,2020,10711908
HI,2020,1455271
IA,2020,3190369
ID,2020,1839106
IL,2020,12812508
IN,2020,6785528
KS,2020,2937880
KY,2020,4505836
LA,2020,4657757
MA,2020,7029917
MD,2020,6177224
ME,2020,1362359
MI,2020,10077331
MN,2020,5706494
MO,2020,6154913
MS,2020,2961279
MT,2020,1084225
NC,2020,10439388
ND,2020,779094
NE,2020,1961504
NH,2020,1377529
NJ,2020,9288994
NM,2020,2117522
NV,2020,3104614
NY,2020,20201249
OH,2020,11799448
OK,2020,3959353
OR,2020,4237256
PA,2020,13002700
RI,2020,1097379
SC,2020,5118425
SD,2020,886667
TN,2020,6910840
TX,2020,29145505
UT,2020,3271616
VA,2020,8631393
VT,2020,643077
WA,2020,7705281
WI,2020,5893718
WV,2020,1793716
WY,2020,576851
AK,2021,732673
AL,2021,5039877
AR,2021,3025891
AZ,2021,7276316
CA,2021,39237836
CO,2021,5812069
CT,2021,3605597
DC,2021,670050
DE,2021,1003384
FL,2021,21781128
GA,2021,10799566
HI,2021,1441553
IA,2021,3193079
ID,2021,1900923
IL,2021,12671469
IN,2021,6805985
KS,2021,2934582
KY,2021,4509394
LA,2021,4624047
MA,2021,6984723
MD,2021,6165129
ME,2021,1372247
MI,2021,10050811
MN,2021,5707390
MO,2021,6168187
MS,2021,2949965
MT,2021,1104271
NC,2021,10551162
ND,2021,774948
NE,2021,1963692
NH,2021,1388992
NJ,2021,9267130
NM,2021,2115877
NV,2021,3143991
NY,2021,19835913
OH,2021,11780017
OK,2021,3986639
OR,2021,4246155
PA,2021,12964056
RI,2021,1095610
SC,2021,5190705
SD,2021,895376
TN,2021,6975218
TX,2021,29527941
UT,2021,3337975
VA,2021,8642274
VT,2021,645570
WA,2021,7738692
WI,2021,5895908
WV,2021,1782959
WY,2021,578803
AK,2022,5073903
AL,2022,733276
AR,2022,7365684
AZ,2022,3046404
CA,2022,39040616
CO,2022,5841039
CT,2022,3608706
DC,2022,1019459
DE,2022,670949
FL,2022,22245521
GA,2022,10913150
HI,2022,1439399
IA,2022,1938996
ID,2022,12582515
IL,2022,6832274
IN,2022,3199693
KS,2022,2936716
KY,2022,4511563
LA,2022,4588023
MA,2022,1389338
MD,2022,6163981
ME,2022,6982740
MI,2022,10033281
MN,2022,5714300
MO,2022,2938928
MS,2022,6177168
MT,2022,1122878
NC,2022,1968060
ND,2022,3177421
NE,2022,1399003
NH,2022,9260817
NJ,2022,2113476
NM,2022,19673200
NV,2022,10695965
NY,2022,778912
OH,2022,11759697
OK,2022,4019271
OR,2022,4239379
PA,2022,12972091
RI,2022,1093842
SC,2022,5282955
SD,2022,909869
TN,2022,7048976
TX,2022,30029848
UT,2022,3381236
VA,2022,647110
VT,2022,8679099
WA,2022,7784477
WI,2022,1774035
WV,2022,5890543
WY,2022,581629
AK,2023,5108468
AL,2023,733406
AR,2023,7431344
AZ,2023,3067732
CA,2023,38965193
CO,2023,5877610
CT,2023,3617176
DC,2023,1031890
DE,2023,678972
FL,2023,22610726
GA,2023,11029227
HI,2023,1435138
IA,2023,1964726
ID,2023,12549689
IL,2023,6862199
IN,2023,3207004
KS,2023,2940546
KY,2023,4526154
LA,2023,4573749
MA,2023,1395722
MD,2023,6180253
ME,2023,7001399
MI,2023,10037261
MN,2023,5737915
MO,2023,2939690
MS,2023,6196156
MT,2023,1132812
NC,2023,1978379
ND,2023,3194176
NE,2023,1402054
NH,2023,9290841
NJ,2023,2114371
NM,2023,19571216
NV,2023,10835491
NY,2023,783926
OH,2023,11785935
OK,2023,4053824
OR,2023,4233358
PA,2023,12961683
RI,2023,1095962
SC,2023,5373555
SD,2023,919318
TN,2023,7126489
TX,2023,30503301
UT,2023,3417734
VA,2023,647464
VT,2023,8715698
WA,2023,7812880
WI,2023,1770071
WV,2023,5910955
WY,2023,584057
